CustomerID,LiveRiskScore,LivePrediction,ActualChurn,LiveSegment
52213,0.0016641658,0,0,1
50775,0.0021164692,0,0,1
52880,0.0022803084,0,0,1
55436,0.0029071213,0,0,1
50590,0.0029696098,0,0,1
52060,0.0037154737,0,0,1
50886,0.0037418536,0,0,1
53442,0.0040369085,0,0,1
54695,0.0044590235,0,0,1
54018,0.0046053994,0,0,1
50627,0.0051639555,0,0,1
51965,0.0058992356,0,0,1
51706,0.0063844724,0,0,1
53099,0.0070088115,0,0,1
53310,0.00770925,0,0,1
53590,0.0078447545,0,0,1
51444,0.007848563,0,0,1
53307,0.008897421,0,0,1
51565,0.008909384,0,0,1
52240,0.009054637,0,0,1
50155,0.0095317885,0,0,1
51079,0.010401864,0,0,1
54026,0.010673418,0,0,1
53495,0.010688359,0,0,1
50952,0.010863813,0,0,1
55083,0.011253352,0,0,1
53092,0.011462845,0,0,1
51897,0.011868631,0,0,1
52647,0.012803212,0,0,1
50446,0.01288801,0,0,1
53744,0.013220476,0,0,1
52720,0.013490231,0,0,1
53570,0.013588596,0,0,1
53893,0.013735267,0,0,1
52476,0.0138991,0,0,1
51419,0.014606871,0,0,1
52646,0.015023485,0,0,1
54680,0.016568042,0,0,1
51411,0.016643917,0,0,1
55462,0.016777027,0,0,1
52239,0.01732368,0,0,1
50619,0.018101102,0,0,1
51405,0.018723851,0,0,1
53070,0.01921313,0,0,1
53318,0.019225042,0,0,1
50636,0.019457553,0,0,1
53584,0.020237166,0,0,1
52399,0.021134501,0,0,1
54804,0.022302793,0,0,1
54192,0.022641623,0,0,1
53252,0.022666594,0,0,1
50159,0.022696003,0,0,1
54722,0.022714535,0,0,1
55471,0.02294833,0,0,1
50151,0.0233193,0,0,1
52698,0.023404052,0,0,1
51058,0.023532895,0,0,1
50301,0.024711411,0,0,1
54948,0.02543775,0,0,1
54430,0.02598208,0,0,1
54860,0.026505385,0,0,1
55052,0.027784731,0,0,1
51933,0.028530052,0,0,1
53821,0.02871181,0,0,1
51592,0.028922373,0,0,1
50493,0.028970972,0,0,1
53404,0.029255671,0,0,1
53217,0.029464936,0,0,1
52586,0.02984287,0,0,1
52493,0.030105146,0,0,1
50602,0.030118436,0,0,1
52605,0.030246112,0,0,1
54080,0.030260969,0,0,1
51475,0.030694637,0,0,1
51959,0.03080322,0,0,1
52281,0.031205602,0,0,1
53304,0.03162834,0,0,1
52390,0.032572545,0,0,1
50286,0.03276452,0,0,1
53406,0.033572614,0,0,1
53451,0.033733096,0,0,1
54901,0.034833897,0,0,1
53265,0.036201604,0,0,1
50468,0.03719566,0,0,1
52118,0.037298135,0,0,1
55110,0.038273353,0,0,1
52898,0.040684585,0,0,1
52042,0.04158341,0,0,1
52501,0.042144068,0,0,1
51176,0.042290375,0,0,1
53355,0.042617068,0,0,1
50163,0.04357772,0,0,1
53267,0.043626722,0,0,1
52079,0.044163708,0,0,1
50589,0.045563698,0,0,1
52974,0.046623413,0,0,1
50182,0.046872113,0,0,1
52973,0.048951216,0,0,1
51686,0.0492689,0,0,1
50634,0.050278008,0,0,1
51757,0.050672963,0,0,1
55161,0.051461432,0,0,1
52260,0.051964674,0,0,1
52225,0.052018393,0,0,1
52621,0.05214436,0,0,1
50817,0.054106522,0,0,1
53538,0.055343263,0,0,1
50287,0.05584501,0,0,1
55578,0.057080377,0,0,1
53474,0.057284568,0,0,1
54649,0.057366014,0,0,1
50267,0.05824599,0,0,1
51406,0.05828325,0,0,1
52512,0.058519065,0,0,2
51570,0.059138697,0,0,2
52045,0.0604347,0,0,2
53013,0.06262852,0,0,2
54966,0.06270826,0,0,2
53669,0.06453804,0,0,2
51970,0.06635057,0,0,2
50031,0.066811725,0,0,2
53918,0.066930324,0,0,2
51904,0.06738988,0,0,2
50402,0.067466035,0,0,2
55338,0.067555405,0,0,2
53714,0.06843836,0,0,2
54078,0.06986883,0,0,2
53755,0.069990955,0,0,2
50106,0.070817806,0,0,2
51014,0.07321614,0,0,2
53278,0.07765805,0,0,2
53582,0.07786393,0,0,2
53955,0.078592576,0,0,2
52533,0.07929486,0,0,2
52209,0.07998789,0,0,2
54160,0.08370739,0,0,2
55061,0.08698568,0,0,2
54043,0.08728626,0,0,2
51103,0.08753151,0,0,2
51843,0.0881258,0,0,2
54811,0.08935538,0,0,2
53974,0.089840926,0,0,2
52654,0.09004814,0,0,2
53678,0.09061491,0,0,2
54393,0.09191595,0,0,2
52347,0.09324102,0,0,2
54549,0.093589485,0,0,2
53426,0.09371887,0,0,2
54248,0.09392886,0,0,2
52022,0.09503342,0,0,2
53816,0.0952729,0,0,2
53081,0.09974322,0,0,2
51358,0.10037472,0,0,2
55420,0.1010609,0,0,2
53086,0.10193888,0,0,2
52484,0.10304635,0,0,2
51293,0.10529792,0,0,2
54236,0.10687912,0,0,2
55239,0.107993186,0,0,2
52364,0.10808139,0,0,2
52251,0.10823465,0,0,2
51292,0.110847086,0,0,2
54433,0.11532694,0,0,2
53543,0.11546342,0,0,2
55241,0.11597533,0,0,2
50307,0.11789724,0,0,2
54757,0.120505005,0,0,2
52963,0.121391274,0,0,2
51130,0.12158267,0,0,2
51699,0.12247774,0,0,2
55316,0.12552948,0,0,2
53509,0.12860757,0,0,2
51066,0.13061222,0,0,2
50142,0.13417152,0,0,2
51644,0.13807899,0,0,2
53340,0.13965659,0,0,2
52091,0.14019707,0,0,2
52504,0.14036146,0,0,2
54485,0.14082071,0,0,2
51759,0.14239244,0,0,2
50835,0.14344834,0,0,2
50719,0.14462115,0,0,2
50157,0.14663768,0,0,2
50473,0.14682099,0,0,2
53135,0.14835218,0,0,2
54904,0.1496669,0,0,2
52305,0.14982326,0,0,2
50064,0.15013753,0,0,2
54317,0.15113473,0,0,2
50606,0.15173554,0,0,2
54894,0.15292954,0,0,2
51123,0.15364483,0,0,2
50650,0.15380505,0,0,2
52120,0.15380505,0,0,2
53528,0.15525794,0,0,2
53574,0.15701595,0,0,2
55577,0.15735677,0,0,2
52764,0.15774876,0,0,2
51612,0.15830043,0,0,2
55184,0.15860769,0,0,2
52418,0.15896238,0,0,2
51216,0.15979071,0,0,2
55139,0.15994872,0,0,2
52334,0.16105191,0,0,2
52692,0.16167486,0,0,2
50670,0.16319373,0,0,2
50134,0.16333355,0,0,2
51310,0.16478223,0,0,2
51238,0.16622847,0,0,2
54243,0.16815092,0,0,2
51534,0.16871274,0,0,2
55389,0.17187217,0,0,2
52511,0.17267556,0,0,2
50485,0.17343368,0,0,2
52949,0.17521697,0,0,2
55413,0.17765048,0,0,2
52890,0.18102619,0,0,2
50214,0.18570112,0,0,2
54547,0.18661736,0,0,2
54873,0.18764998,0,0,2
50702,0.18861046,0,0,2
53995,0.19225094,0,0,2
51421,0.19311881,0,0,2
52630,0.19317083,0,0,2
50701,0.19580166,0,0,2
54232,0.19645856,0,0,2
54683,0.19893935,0,0,3
50180,0.19917133,0,0,3
51655,0.20473853,0,0,3
50844,0.20475383,0,0,3
51016,0.20617121,0,0,3
50697,0.20681058,0,0,3
53720,0.21098936,0,0,3
51951,0.21119718,0,0,3
50324,0.21425498,0,0,3
52466,0.21931033,0,0,3
53371,0.22034371,0,0,3
55264,0.22109234,0,0,3
54156,0.2223427,0,0,3
51194,0.22254792,0,0,3
52756,0.22578311,0,0,3
53273,0.22668992,0,0,3
53016,0.22677688,0,0,3
50821,0.2276686,0,0,3
53104,0.23057677,0,0,3
54898,0.23078379,0,0,3
54605,0.23197886,0,0,3
54480,0.23460555,0,0,3
50877,0.23501864,0,0,3
51074,0.23766817,0,0,3
53592,0.23768842,0,0,3
50669,0.239211,0,0,3
50898,0.24000348,0,0,3
54571,0.245228,0,0,3
53521,0.24690008,0,0,3
50954,0.24811812,0,0,3
51168,0.24918683,0,0,3
50905,0.25150558,0,0,3
54171,0.25190687,0,0,3
