,Seed,StaticExpectedPercent,StaticRealizedPercent,TSTrainingExpectedPercent,TSTrainingRealizedPercent,TSFinalPolicyExpectedPercent,OracleExpectedPercent,TrainingExpectedGainPP,FinalPolicyExpectedGainPP,CorrectSegmentCount
0,42,70.00976909413853,70.19043812907046,73.71381823564379,73.97445233866193,74.81349911190054,74.81349911190054,3.70404914150525,4.803730017761998,10
1,43,70.00976909413853,70.1280935464772,73.83067850799453,74.13259325044405,74.81349911190054,74.81349911190054,3.8209094138559996,4.803730017761998,10
2,44,70.00976909413853,69.99641799881587,73.71018679692227,73.5326524570752,74.51509769094139,74.81349911190054,3.7004177027837315,4.505328596802849,9
3,45,70.00976909413853,70.54727649496743,73.89988336293831,74.25503256364712,74.81349911190054,74.81349911190054,3.8901142687997714,4.803730017761998,10
4,46,70.00976909413853,70.06829484902309,73.72858732978247,73.82969212551806,74.81349911190054,74.81349911190054,3.718818235643928,4.803730017761998,10
5,47,70.00976909413853,69.87036708111307,73.46508052102004,73.39076376554175,74.81349911190054,74.81349911190054,3.455311426881502,4.803730017761998,10
6,48,70.00976909413853,69.84461219656602,73.86321077560855,73.651865008881,74.81349911190054,74.81349911190054,3.8534416814700045,4.803730017761998,10
7,49,70.00976909413853,69.81471284783896,73.90995204263047,73.7115748963884,74.81349911190054,74.81349911190054,3.900182948491926,4.803730017761998,10
8,50,70.00976909413853,70.24218472468917,73.86040674955767,74.07682060390765,74.81349911190054,74.81349911190054,3.8506376554191313,4.803730017761998,10
9,51,70.00976909413853,69.98093546477206,73.85852960331728,73.88848431024275,74.81349911190054,74.81349911190054,3.848760509178739,4.803730017761998,10
10,52,70.00976909413853,70.43650088809949,73.03212788632413,73.4141799881587,73.81882770870338,74.81349911190054,3.0223587921855977,3.809058614564842,8
11,53,70.00976909413853,69.77386027235052,73.92499970396857,73.6637359384251,74.81349911190054,74.81349911190054,3.9152306098300227,4.803730017761998,10
12,54,70.00976909413853,69.81385435168738,73.87675902901296,73.79233274126702,74.81349911190054,74.81349911190054,3.8669899348744208,4.803730017761998,10
13,55,70.00976909413853,69.9611604499704,73.83145796329359,73.84230313795145,74.81349911190054,74.81349911190054,3.821688869155049,4.803730017761998,10
14,56,70.00976909413853,70.12690941385435,73.76140053286095,73.72326820603908,74.81349911190054,74.81349911190054,3.7516314387224026,4.803730017761998,10
15,57,70.00976909413853,69.89807578448787,73.93952841918473,73.89523386619301,74.81349911190054,74.81349911190054,3.929759325046178,4.803730017761998,10
16,58,70.00976909413853,70.37279455298993,73.74695115453093,74.21722912966253,74.81349911190054,74.81349911190054,3.7371820603923966,4.803730017761998,10
17,59,70.00976909413853,69.97039668442865,73.38428034340018,73.17471876850207,74.81349911190054,74.81349911190054,3.374511249261636,4.803730017761998,10
18,60,70.00976909413853,70.0914150384843,73.333148608646,73.47095914742452,74.81349911190054,74.81349911190054,3.323379514507452,4.803730017761998,10
19,61,70.00976909413853,70.01734754292481,73.80095885139289,73.8097098875074,74.81349911190054,74.81349911190054,3.791189757254354,4.803730017761998,10
